,COUNTRIES,TOTAL CASES,NEW CASES,NEW DEATHS,TOTAL DEATHS,TOTAL RECOVERED
264,Belgium,1108675,+1467,,25213,1051372
265,Sweden,1095279,,,14614,1072800
266,Romania,1081773,,,34258,1046881
267,Pakistan,996451,+2579,+40,22888,922034
268,Malaysia,939899,,,7241,798955
269,Portugal,935246,,,17219,867540
270,Israel,854434,,,6452,839103
271,Japan,844014,,,15060,801337
272,Hungary,808889,,,30019,743449
273,Jordan,762420,,,9916,744365
274,Serbia,719006,,,7088,709559
275,Switzerland,710243,,,10903,690729
276,Nepal,670953,,,9607,634927
277,UAE,664027,,,1904,641750
278,Austria,654314,,,10729,639831
279,Morocco,562416,,,9486,534814
280,Tunisia,554911,,,17821,443979
281,Lebanon,551789,,,7887,535485
282,Saudi Arabia,512142,,,8103,493240
283,Kazakhstan,504290,+5179,+54,5116,436523
284,Ecuador,477946,,,30744,443880
285,Bolivia,464177,+1052,+30,17505,394002
286,Greece,463473,,,12843,420187
287,Paraguay,446267,,,14394,406280
288,Thailand,439477,+13002,+108,3610,304456
289,Belarus,435620,,,3344,429257
290,Panama,424455,,,6716,404606
291,Bulgaria,423223,,,18184,397648
292,Costa Rica,394135,,,4915,318436
293,Slovakia,392139,,,12531,379204
294,Georgia,390945,,,5592,367130
295,Kuwait,387912,,,2247,369737
296,Uruguay,379376,,,5896,369652
297,Croatia,361759,,,8243,352777
298,Azerbaijan,338837,,,4994,331429
299,Dominican Republic,337975,,,3928,280645
300,Guatemala,334375,,,9927,293208
301,Palestine,315761,,,3589,310601
302,Denmark,307764,,,2542,293906
303,Venezuela,294727,,,3408,278117
304,Cuba,294449,,,2019,256757
305,Oman,289042,,,3498,263752
306,Sri Lanka,287973,,,3870,262828
307,Ireland,286691,,,5018,264030
308,Egypt,283813,,,16457,225068
309,Honduras,282686,+1082,+25,7507,96452
310,Lithuania,279914,,,4404,268382
311,Ethiopia,277877,,,4359,262550
312,Bahrain,268027,,,1380,265832
313,Slovenia,258287,,,4425,253059
314,Moldova,258096,,,6229,251033
315,Myanmar,240570,,,5567,167171
316,Armenia,227716,,,4572,218529
317,Libya,226701,,,3309,184476
318,Qatar,224510,,,599,222362
319,Bosnia and Herzegovina,205340,,,9669,188019
320,Kenya,193807,,,3800,183211
321,Zambia,187602,,,3138,174728
322,S. Korea,182265,+1784,+1,2060,161634
323,Nigeria,169884,,,2128,164733
324,North Macedonia,155931,,,5487,150223
325,Algeria,155784,,,3979,107041
326,Kyrgyzstan,152709,+1102,+9,2205,128905
327,Mongolia,151230,+1497,+4,749,141248
328,Afghanistan,142800,,,6295,90153
329,Latvia,138238,,,2548,135168
330,Norway,134780,,,796,88952
331,Albania,132740,,,2456,130086
332,Estonia,131963,,,1271,128177
333,Uzbekistan,121329,+698,+4,809,116009
334,Namibia,113438,,,2557,89010
335,Mozambique,102009,,,1158,78337
336,Finland,100773,,,978,46000
337,Montenegro,100755,,,1623,98711
338,Ghana,99160,,,815,95221
339,Cyprus,93247,,,391,74714
340,Botswana,91902,,,1328,75782
341,Uganda,90910,,,2412,69377
342,Zimbabwe,88415,,,2747,58155
343,El Salvador,82852,,,2508,75136
344,Cameroon,81467,,,1330,78224
345,Maldives,76188,,,217,73340
346,Luxembourg,73074,,,821,70675
347,Cambodia,69608,+812,+19,1168,61779
348,Vietnam,65607,+2787,,334,11443
349,Singapore,63440,,,36,62543
350,Rwanda,59141,,,677,41951
351,Senegal,53573,,,1236,43802
352,Jamaica,51282,,,1158,46724
353,Ivory Coast,49288,,,322,48537
354,DRC,46725,,,1018,29205
355,Malawi,44684,,,1363,35203
356,Madagascar,42551,,,937,40951
357,Angola,41061,,,970,34857
358,Sudan,37138,,,2776,30867
359,Trinidad and Tobago,36354,,,1000,29663
360,Réunion,34615,,,266,32036
361,Cabo Verde,33356,,,296,32525
362,Malta,32833,,,420,30236
363,Australia,32266,+137,,915,29743
364,French Guiana,29133,,,169,9995
365,Syria,25845,,,1905,21924
366,Gabon,25283,,,163,25005
367,Guinea,24765,,,194,23655
368,Suriname,24435,,,620,20581
369,Mauritania,22929,,,512,20901
370,Guyana,21668,,,514,19993
371,Eswatini,21496,,,727,19086
372,Haiti,19627,,,512,13122
373,Mayotte,19460,,,174,2964
374,Fiji,19352,,,125,4233
375,French Polynesia,19163,,,144,18902
376,Guadeloupe,17779,,,238,2250
377,Seychelles,17541,,,86,16814
378,Papua New Guinea,17515,,,191,17153
379,Martinique,15612,,,99,104
380,Taiwan,15453,,,773,13650
381,Somalia,15162,,,781,7277
382,Togo,14769,,,140,13895
383,Mali,14522,,,530,12376
384,Andorra,14379,,,127,13930
385,Tajikistan,14228,,,114,13801
386,Belize,13816,,,332,13117
387,Bahamas,13604,,,274,12112
388,Burkina Faso,13537,,,169,13350
389,Congo,13050,,,176,11759
390,Curaçao,12883,,,126,12261
391,Lesotho,12398,,,339,6601
392,Hong Kong,11966,,,212,11688
393,Djibouti,11628,,,155,11466
394,Aruba,11257,,,109,11051
395,South Sudan,10917,,,117,10514
396,Timor-Leste,10174,,,26,9390
397,Nicaragua,9108,,,194,4225
398,Equatorial Guinea,8848,,,123,8591
399,Benin,8244,,,107,8081
400,Channel Islands,7766,,,86,4640
401,CAR,7147,,,98,6859
402,Yemen,6992,,,1371,4162
403,Gambia,6920,,,190,6015
404,Iceland,6832,,,30,6639
405,Eritrea,6450,,,32,6158
406,Sierra Leone,6198,,,116,4144
407,Burundi,5942,,,8,773
408,Niger,5594,,,194,5287
409,Saint Lucia,5484,,,87,5295
410,Liberia,5396,,,148,2715
411,San Marino,5099,,,90,5002
412,Chad,4965,,,174,4777
413,Gibraltar,4671,,,94,4302
414,Barbados,4292,,,48,4058
415,Guinea-Bissau,4087,,,73,3725
416,Comoros,4011,,,147,3837
417,Laos,3863,+153,,5,2174
418,Liechtenstein,3069,,,59,2994
419,New Zealand,2828,+6,,26,2746
420,Isle of Man,2756,,,29,1623
421,Monaco,2717,,,33,2587
422,Sint Maarten,2687,,,34,2609
423,Mauritius,2661,,,19,1854
424,Bermuda,2530,,,33,2482
425,Turks and Caicos,2458,,,18,2404
426,Bhutan,2455,,,2,2125
427,Saint Martin,2433,,,38,1399
428,Sao Tome and Principe,2410,,,37,2336
429,St. Vincent Grenadines,2263,,,12,2197
430,British Virgin Islands,2210,,,23,588
431,Caribbean Netherlands,1683,,,17,1642
432,Antigua and Barbuda,1275,,,42,1225
433,St. Barth,1005,,,1,462
434,Faeroe Islands,941,,,1,841
435,Diamond Princess,712,,,13,699
436,Cayman Islands,627,,,2,618
437,Saint Kitts and Nevis,557,,,3,514
438,Tanzania,509,,,21,183
439,Wallis and Futuna,445,,,7,438
440,Brunei,305,,,3,261
441,Dominica,206,,,,195
442,Grenada,161,,,1,160
443,New Caledonia,129,,,,58
444,Anguilla,113,,,,111
445,Greenland,83,,,,53
446,Falkland Islands,63,,,,63
447,Macao,55,,,,53
448,Vatican City,27,,,,27
449,Saint Pierre Miquelon,26,,,,26
450,Montserrat,21,,,1,19
451,Solomon Islands,20,,,,20
452,Western Sahara,10,,,1,8
453,MS Zaandam,9,,,2,7
454,Vanuatu,4,,,1,3
455,Marshall Islands,4,,,,4
456,Samoa,3,,,,3
457,Saint Helena,2,,,,2
458,Micronesia,1,,,,1
459,China,92364,+22,,4636,87126
